10000 [{'gradename': '六年级', 'start': 0, 'pageno': 1, 'schoolid': '26446', 'pageindex': 0, 'classname': '（1）班', 'classid': '26553', 'schoolname': '周恩来红军小学', 'gradeid': '26452', 'draw': 0, 'isadmin': 0, 'length': 10}]
33996 [{'gradename': '五年级', 'start': 0, 'pageno': 1, 'schoolid': '11397', 'pageindex': 0, 'classname': '（6）班', 'classid': '15393', 'schoolname': '长安兴国小学', 'gradeid': '14220', 'draw': 0, 'isadmin': 0, 'length': 10}]
33999 [{'gradename': '五年级', 'start': 0, 'pageno': 1, 'schoolid': '23951', 'pageindex': 0, 'classname': '（14）班', 'classid': '24087', 'schoolname': '博爱学校', 'gradeid': '23971', 'draw': 0, 'isadmin': 0, 'length': 10}]
34006 [{'gradename': '教师签到屏', 'start': 0, 'pageno': 1, 'schoolid': '944', 'pageindex': 0, 'classname': '地下车库东门北', 'classid': '8518', 'schoolname': '南京市溧水区状元坊小学', 'gradeid': '8515', 'draw': 0, 'isadmin': 0, 'length': 10}]
34010 [{'gradename': '初三', 'start': 0, 'pageno': 1, 'schoolid': '23076', 'pageindex': 0, 'classname': '（10）班', 'classid': '23247', 'schoolname': '江阴实验中学', 'gradeid': '23222', 'draw': 0, 'isadmin': 0, 'length': 10}]
34011 [{'gradename': '一年级', 'start': 0, 'pageno': 1, 'schoolid': '26446', 'pageindex': 0, 'classname': '（10）班', 'classid': '26462', 'schoolname': '周恩来红军小学', 'gradeid': '26447', 'draw': 0, 'isadmin': 0, 'length': 10}]
34013 [{'gradename': '一年级', 'start': 0, 'pageno': 1, 'schoolid': '26446', 'pageindex': 0, 'classname': '（7）班', 'classid': '26459', 'schoolname': '周恩来红军小学', 'gradeid': '26447', 'draw': 0, 'isadmin': 0, 'length': 10}]
34022 [{'gradename': '高二1部', 'start': 0, 'pageno': 1, 'schoolid': '7955', 'pageindex': 0, 'classname': '（3）班', 'classid': '8001', 'schoolname': '江苏省泗阳致远中学', 'gradeid': '7959', 'draw': 0, 'isadmin': 0, 'length': 10}]
34054 [{'gradename': '露晞楼', 'start': 0, 'pageno': 1, 'schoolid': '2781', 'pageindex': 0, 'classname': '合唱教室', 'classid': '2862', 'schoolname': '太仓市弇山小学', 'gradeid': '2822', 'draw': 0, 'isadmin': 0, 'length': 10}]
34057 [{'gradename': '16级高护', 'start': 0, 'pageno': 1, 'schoolid': '4803', 'pageindex': 0, 'classname': '（11）班', 'classid': '5159', 'schoolname': '黄平县中等职业学校', 'gradeid': '5111', 'draw': 0, 'isadmin': 0, 'length': 10}]
34061 [{'gradename': '大厅', 'start': 0, 'pageno': 1, 'schoolid': '120', 'pageindex': 0, 'classname': '三楼大厅东北', 'classid': '285', 'schoolname': '苏州市勤惜实验小学校', 'gradeid': '278', 'draw': 0, 'isadmin': 0, 'length': 10}]
34062 [{'gradename': '高一', 'start': 0, 'pageno': 1, 'schoolid': '15907', 'pageindex': 0, 'classname': '（18）班', 'classid': '16502', 'schoolname': '康平县高级中学', 'gradeid': '16049', 'draw': 0, 'isadmin': 0, 'length': 10}]
34066 [{'gradename': '六年级', 'start': 0, 'pageno': 1, 'schoolid': '15932', 'pageindex': 0, 'classname': '（4）班', 'classid': '24842', 'schoolname': '康平县康平镇九年一贯制学校', 'gradeid': '16235', 'draw': 0, 'isadmin': 0, 'length': 10}]
34070 [{'gradename': '四年级', 'start': 0, 'pageno': 1, 'schoolid': '15962', 'pageindex': 0, 'classname': '（9）班', 'classid': '18211', 'schoolname': '昆明市五华区春城小学', 'gradeid': '16380', 'draw': 0, 'isadmin': 0, 'length': 10}]
34071 [{'gradename': '高二', 'start': 0, 'pageno': 1, 'schoolid': '2117', 'pageindex': 0, 'classname': '（5）班', 'classid': '2151', 'schoolname': '徐州丰县广宇中英文学校', 'gradeid': '2136', 'draw': 0, 'isadmin': 0, 'length': 10}]
34075 [{'gradename': '九年级', 'start': 0, 'pageno': 1, 'schoolid': '2117', 'pageindex': 0, 'classname': '（1）班', 'classid': '2195', 'schoolname': '徐州丰县广宇中英文学校', 'gradeid': '2156', 'draw': 0, 'isadmin': 0, 'length': 10}]
34077 [{'gradename': '高二', 'start': 0, 'pageno': 1, 'schoolid': '15907', 'pageindex': 0, 'classname': '（15）班', 'classid': '16521', 'schoolname': '康平县高级中学', 'gradeid': '16050', 'draw': 0, 'isadmin': 0, 'length': 10}]
34079 [{'gradename': '高二年级', 'start': 0, 'pageno': 1, 'schoolid': '15935', 'pageindex': 0, 'classname': '（3）班', 'classid': '17292', 'schoolname': '绍兴市阳明中学', 'gradeid': '16249', 'draw': 0, 'isadmin': 0, 'length': 10}]
34085 [{'gradename': '初一年级', 'start': 0, 'pageno': 1, 'schoolid': '23709', 'pageindex': 0, 'classname': '（27）班', 'classid': '25004', 'schoolname': '泗阳致远中学初中部', 'gradeid': '23710', 'draw': 0, 'isadmin': 0, 'length': 10}]
34090 [{'gradename': '二年级', 'start': 0, 'pageno': 1, 'schoolid': '11399', 'pageindex': 0, 'classname': '（2）班', 'classid': '15427', 'schoolname': '陕西省长安师范学校附属小学', 'gradeid': '14229', 'draw': 0, 'isadmin': 0, 'length': 10}]
34099 [{'gradename': '九年级', 'start': 0, 'pageno': 1, 'schoolid': '23951', 'pageindex': 0, 'classname': '（2）班', 'classid': '24160', 'schoolname': '博爱学校', 'gradeid': '23975', 'draw': 0, 'isadmin': 0, 'length': 10}]
34103 [{'gradename': 'C', 'start': 0, 'pageno': 1, 'schoolid': '26446', 'pageindex': 0, 'classname': 'C420', 'classid': '26622', 'schoolname': '周恩来红军小学', 'gradeid': '26602', 'draw': 0, 'isadmin': 0, 'length': 10}]
34108 [{'gradename': '高二', 'start': 0, 'pageno': 1, 'schoolid': '910', 'pageindex': 0, 'classname': '（2）班', 'classid': '7408', 'schoolname': '郑州市第二十四中学', 'gradeid': '911', 'draw': 0, 'isadmin': 0, 'length': 10}]
34112 [{'gradename': '六年级', 'start': 0, 'pageno': 1, 'schoolid': '11319', 'pageindex': 0, 'classname': '（3）班', 'classid': '14549', 'schoolname': '杜曲街道中心学校', 'gradeid': '13799', 'draw': 0, 'isadmin': 0, 'length': 10}]
34114 [{'gradename': '一年级', 'start': 0, 'pageno': 1, 'schoolid': '3040', 'pageindex': 0, 'classname': '七班', 'classid': '8583', 'schoolname': '太仓市实验小学', 'gradeid': '8576', 'draw': 0, 'isadmin': 0, 'length': 10}]
34143 [{'gradename': '2#成华楼 ', 'start': 0, 'pageno': 1, 'schoolid': '7641', 'pageindex': 0, 'classname': '2305', 'classid': '8163', 'schoolname': '南京市扬子第一中学松杨路分校', 'gradeid': '8155', 'draw': 0, 'isadmin': 0, 'length': 10}]
34151 [{'gradename': '一年级', 'start': 0, 'pageno': 1, 'schoolid': '11336', 'pageindex': 0, 'classname': '（7）班', 'classid': '14728', 'schoolname': '南街小学', 'gradeid': '13892', 'draw': 0, 'isadmin': 0, 'length': 10}]
34166 [{'gradename': '九年级', 'start': 0, 'pageno': 1, 'schoolid': '25110', 'pageindex': 0, 'classname': '（12）班', 'classid': '25152', 'schoolname': '银川九中教育集团阅海一校区', 'gradeid': '25113', 'draw': 0, 'isadmin': 0, 'length': 10}]
34170 [{'gradename': '三年级', 'start': 0, 'pageno': 1, 'schoolid': '22520', 'pageindex': 0, 'classname': '（3）班', 'classid': '22658', 'schoolname': '陕西师范大学长安万科城小学', 'gradeid': '22549', 'draw': 0, 'isadmin': 0, 'length': 10}]
34172 [{'gradename': '五年级', 'start': 0, 'pageno': 1, 'schoolid': '2522', 'pageindex': 0, 'classname': '（2）班', 'classid': '2910', 'schoolname': '江苏省邳州市奚仲路小学', 'gradeid': '2908', 'draw': 0, 'isadmin': 0, 'length': 10}]
34174 [{'gradename': '二年级', 'start': 0, 'pageno': 1, 'schoolid': '15975', 'pageindex': 0, 'classname': '（6）班', 'classid': '18588', 'schoolname': '昆明市五华区红旗小学靖国校区', 'gradeid': '16456', 'draw': 0, 'isadmin': 0, 'length': 10}]
34176 [{'gradename': '初一', 'start': 0, 'pageno': 1, 'schoolid': '874', 'pageindex': 0, 'classname': '（5）班', 'classid': '882', 'schoolname': '河南省安阳市安阳第二十一中学', 'gradeid': '875', 'draw': 0, 'isadmin': 0, 'length': 10}]
34179 [{'gradename': '二年级', 'start': 0, 'pageno': 1, 'schoolid': '11362', 'pageindex': 0, 'classname': '（4）班', 'classid': '14989', 'schoolname': '西安市长安区第一小学', 'gradeid': '14036', 'draw': 0, 'isadmin': 0, 'length': 10}]
34183 [{'gradename': '二年级', 'start': 0, 'pageno': 1, 'schoolid': '9814', 'pageindex': 0, 'classname': '（3）班', 'classid': '9826', 'schoolname': '南京市浦口区珠江小学', 'gradeid': '9816', 'draw': 0, 'isadmin': 0, 'length': 10}]
34185 [{'gradename': '八年级', 'start': 0, 'pageno': 1, 'schoolid': '15926', 'pageindex': 0, 'classname': '（1）班', 'classid': '17075', 'schoolname': '康平县海洲九年一贯制学校', 'gradeid': '16183', 'draw': 0, 'isadmin': 0, 'length': 10}]
34200 [{'gradename': '小学部专用教室', 'start': 0, 'pageno': 1, 'schoolid': '1048', 'pageindex': 0, 'classname': '阅览室二', 'classid': '8492', 'schoolname': '南京晓庄学院滨河实验学校', 'gradeid': '8488', 'draw': 0, 'isadmin': 0, 'length': 10}]
34201 [{'gradename': '高二教学班（等级）', 'start': 0, 'pageno': 1, 'schoolid': '955', 'pageindex': 0, 'classname': '20届生物04班(等级)', 'classid': '2231', 'schoolname': '上海理工大学附属中学', 'gradeid': '2221', 'draw': 0, 'isadmin': 0, 'length': 10}]
34203 [{'gradename': '七年级', 'start': 0, 'pageno': 1, 'schoolid': '2206', 'pageindex': 0, 'classname': '（12）班', 'classid': '25698', 'schoolname': '江山二中', 'gradeid': '25686', 'draw': 0, 'isadmin': 0, 'length': 10}]
34206 [{'gradename': '四年级', 'start': 0, 'pageno': 1, 'schoolid': '15959', 'pageindex': 0, 'classname': '（4）班', 'classid': '18115', 'schoolname': '昆明市五华区先锋小学', 'gradeid': '16362', 'draw': 0, 'isadmin': 0, 'length': 10}]
34209 [{'gradename': '公共区域大屏', 'start': 0, 'pageno': 1, 'schoolid': '8286', 'pageindex': 0, 'classname': '北楼2F东楼梯\t', 'classid': '8298', 'schoolname': '江苏省溧水高级中学附属初级中学', 'gradeid': '8287', 'draw': 0, 'isadmin': 0, 'length': 10}]
34212 [{'gradename': '备用教室', 'start': 0, 'pageno': 1, 'schoolid': '9482', 'pageindex': 0, 'classname': '1', 'classid': '9512', 'schoolname': '合肥皖智中学', 'gradeid': '9511', 'draw': 0, 'isadmin': 0, 'length': 10}]
34223 [{'gradename': '八年级', 'start': 0, 'pageno': 1, 'schoolid': '15518', 'pageindex': 0, 'classname': '（11）班', 'classid': '15549', 'schoolname': '杭州经济技术开发区景苑中学', 'gradeid': '15520', 'draw': 0, 'isadmin': 0, 'length': 10}]
34227 [{'gradename': '一年级', 'start': 0, 'pageno': 1, 'schoolid': '15947', 'pageindex': 0, 'classname': '（3）班', 'classid': '17629', 'schoolname': '杭州市丁蕙第二小学', 'gradeid': '16302', 'draw': 0, 'isadmin': 0, 'length': 10}]
34229 [{'gradename': '初三', 'start': 0, 'pageno': 1, 'schoolid': '158', 'pageindex': 0, 'classname': '（7）班', 'classid': '192', 'schoolname': '常熟市孝友中学', 'gradeid': '185', 'draw': 0, 'isadmin': 0, 'length': 10}]
34232 [{'gradename': '中一班', 'start': 0, 'pageno': 1, 'schoolid': '11331', 'pageindex': 0, 'classname': '（1）班', 'classid': '14687', 'schoolname': '滦镇街道泉子头小学', 'gradeid': '13871', 'draw': 0, 'isadmin': 0, 'length': 10}]
34234 [{'gradename': '二年级', 'start': 0, 'pageno': 1, 'schoolid': '1041', 'pageindex': 0, 'classname': '（8）班', 'classid': '2004', 'schoolname': '常熟市东南实验小学', 'gradeid': '1996', 'draw': 0, 'isadmin': 0, 'length': 10}]
34236 [{'gradename': '九年级', 'start': 0, 'pageno': 1, 'schoolid': '15931', 'pageindex': 0, 'classname': '（3）班', 'classid': '17217', 'schoolname': '康平县东关九年一贯制学校', 'gradeid': '16229', 'draw': 0, 'isadmin': 0, 'length': 10}]
34248 [{'gradename': '教室', 'start': 0, 'pageno': 1, 'schoolid': '10088', 'pageindex': 0, 'classname': '3', 'classid': '10140', 'schoolname': '南京市浦口江浦高中文昌校区', 'gradeid': '10137', 'draw': 0, 'isadmin': 0, 'length': 10}]
34252 [{'gradename': '二年级', 'start': 0, 'pageno': 1, 'schoolid': '944', 'pageindex': 0, 'classname': '（7）班', 'classid': '1977', 'schoolname': '南京市溧水区状元坊小学', 'gradeid': '945', 'draw': 0, 'isadmin': 0, 'length': 10}]
34256 [{'gradename': '初一', 'start': 0, 'pageno': 1, 'schoolid': '11426', 'pageindex': 0, 'classname': '（1）班', 'classid': '12215', 'schoolname': '长安区第二初级中学', 'gradeid': '12195', 'draw': 0, 'isadmin': 0, 'length': 10}]
34257 [{'gradename': '初三年级', 'start': 0, 'pageno': 1, 'schoolid': '15936', 'pageindex': 0, 'classname': '（5）班', 'classid': '17342', 'schoolname': '绍兴市镜湖中学', 'gradeid': '16253', 'draw': 0, 'isadmin': 0, 'length': 10}]
34259 [{'gradename': '三年级', 'start': 0, 'pageno': 1, 'schoolid': '25240', 'pageindex': 0, 'classname': '（5）班', 'classid': '25520', 'schoolname': '上海市莘城学校', 'gradeid': '25500', 'draw': 0, 'isadmin': 0, 'length': 10}]
34261 [{'gradename': '六年级', 'start': 0, 'pageno': 1, 'schoolid': '944', 'pageindex': 0, 'classname': '（8）班', 'classid': '1929', 'schoolname': '南京市溧水区状元坊小学', 'gradeid': '1657', 'draw': 0, 'isadmin': 0, 'length': 10}]
34268 [{'gradename': '高三', 'start': 0, 'pageno': 1, 'schoolid': '955', 'pageindex': 0, 'classname': '（4）班', 'classid': '1331', 'schoolname': '上海理工大学附属中学', 'gradeid': '1322', 'draw': 0, 'isadmin': 0, 'length': 10}]
34273 [{'gradename': '一年级', 'start': 0, 'pageno': 1, 'schoolid': '120', 'pageindex': 0, 'classname': '（1）班', 'classid': '220', 'schoolname': '苏州市勤惜实验小学校', 'gradeid': '219', 'draw': 0, 'isadmin': 0, 'length': 10}]
34280 [{'gradename': '旧高三', 'start': 0, 'pageno': 1, 'schoolid': '1057', 'pageindex': 0, 'classname': '（2）班', 'classid': '1215', 'schoolname': '江苏省太仓高级中学', 'gradeid': '1202', 'draw': 0, 'isadmin': 0, 'length': 10}]
34290 [{'gradename': '一年级', 'start': 0, 'pageno': 1, 'schoolid': '4320', 'pageindex': 0, 'classname': '（8）班', 'classid': '6940', 'schoolname': '上海市金山亭林小学', 'gradeid': '6932', 'draw': 0, 'isadmin': 0, 'length': 10}]
34291 [{'gradename': '三楼公共大屏', 'start': 0, 'pageno': 1, 'schoolid': '944', 'pageindex': 0, 'classname': '4', 'classid': '1276', 'schoolname': '南京市溧水区状元坊小学', 'gradeid': '1194', 'draw': 0, 'isadmin': 0, 'length': 10}]
34292 [{'gradename': '五年级', 'start': 0, 'pageno': 1, 'schoolid': '15911', 'pageindex': 0, 'classname': '（5）班', 'classid': '16702', 'schoolname': '康平县向阳小学', 'gradeid': '16066', 'draw': 0, 'isadmin': 0, 'length': 10}]
34295 [{'gradename': '宿舍', 'start': 0, 'pageno': 1, 'schoolid': '4800', 'pageindex': 0, 'classname': '显示屏二', 'classid': '5496', 'schoolname': '贵州省施秉县民族中学', 'gradeid': '5494', 'draw': 0, 'isadmin': 0, 'length': 10}]
34297 [{'gradename': '初二', 'start': 0, 'pageno': 1, 'schoolid': '3612', 'pageindex': 0, 'classname': '（1）班', 'classid': '3664', 'schoolname': '南京市溧水区白马中学', 'gradeid': '3656', 'draw': 0, 'isadmin': 0, 'length': 10}]
34298 [{'gradename': '三年级', 'start': 0, 'pageno': 1, 'schoolid': '10815', 'pageindex': 0, 'classname': '（2）班', 'classid': '10834', 'schoolname': '太仓市科教新城南郊小学', 'gradeid': '10818', 'draw': 0, 'isadmin': 0, 'length': 10}]
34303 [{'gradename': '七年级', 'start': 0, 'pageno': 1, 'schoolid': '15764', 'pageindex': 0, 'classname': '（7）班', 'classid': '15772', 'schoolname': '西安西京初级中学', 'gradeid': '15765', 'draw': 0, 'isadmin': 0, 'length': 10}]
34313 [{'gradename': '一年级', 'start': 0, 'pageno': 1, 'schoolid': '15964', 'pageindex': 0, 'classname': '（1）班', 'classid': '18290', 'schoolname': '昆明市五华区云铜小学', 'gradeid': '16389', 'draw': 0, 'isadmin': 0, 'length': 10}]
34314 [{'gradename': '六年级', 'start': 0, 'pageno': 1, 'schoolid': '1', 'pageindex': 0, 'classname': '（4）班', 'classid': '711', 'schoolname': '苏州紫橙实验学校', 'gradeid': '686', 'draw': 0, 'isadmin': 0, 'length': 10}]
34316 [{'gradename': '高三', 'start': 0, 'pageno': 1, 'schoolid': '1387', 'pageindex': 0, 'classname': '（26）班', 'classid': '1522', 'schoolname': '上饶市广丰一中', 'gradeid': '1390', 'draw': 0, 'isadmin': 0, 'length': 10}]
34326 [{'gradename': '五年级', 'start': 0, 'pageno': 1, 'schoolid': '3040', 'pageindex': 0, 'classname': '五班', 'classid': '3286', 'schoolname': '太仓市实验小学', 'gradeid': '3253', 'draw': 0, 'isadmin': 0, 'length': 10}]
34329 [{'gradename': '三年级', 'start': 0, 'pageno': 1, 'schoolid': '21967', 'pageindex': 0, 'classname': '（1）班', 'classid': '22054', 'schoolname': '长安区第五小学', 'gradeid': '21987', 'draw': 0, 'isadmin': 0, 'length': 10}]
34340 [{'gradename': '大班', 'start': 0, 'pageno': 1, 'schoolid': '11100', 'pageindex': 0, 'classname': '（2）班', 'classid': '11691', 'schoolname': '韦曲街道天爱幼儿园', 'gradeid': '11683', 'draw': 0, 'isadmin': 0, 'length': 10}]
34356 [{'gradename': '三年级', 'start': 0, 'pageno': 1, 'schoolid': '11394', 'pageindex': 0, 'classname': '（2）班', 'classid': '15346', 'schoolname': '韦曲街道申店小学', 'gradeid': '14206', 'draw': 0, 'isadmin': 0, 'length': 10}]
34363 [{'gradename': '二年级', 'start': 0, 'pageno': 1, 'schoolid': '25240', 'pageindex': 0, 'classname': '（3）班', 'classid': '25510', 'schoolname': '上海市莘城学校', 'gradeid': '25499', 'draw': 0, 'isadmin': 0, 'length': 10}]
34364 [{'gradename': '一年级', 'start': 0, 'pageno': 1, 'schoolid': '489', 'pageindex': 0, 'classname': '（2）班', 'classid': '494', 'schoolname': '苏州高新区文昌实验小学', 'gradeid': '490', 'draw': 0, 'isadmin': 0, 'length': 10}]
34371 [{'gradename': '五年级', 'start': 0, 'pageno': 1, 'schoolid': '7512', 'pageindex': 0, 'classname': '（5）班', 'classid': '7577', 'schoolname': '南京溧水经济开发区小学', 'gradeid': '7517', 'draw': 0, 'isadmin': 0, 'length': 10}]
34381 [{'gradename': '六年级', 'start': 0, 'pageno': 1, 'schoolid': '2920', 'pageindex': 0, 'classname': '（6）班', 'classid': '3207', 'schoolname': '温州市龙湾区永兴第二小学', 'gradeid': '3177', 'draw': 0, 'isadmin': 0, 'length': 10}]
34384 [{'gradename': '公共区域大屏', 'start': 0, 'pageno': 1, 'schoolid': '3939', 'pageindex': 0, 'classname': '三', 'classid': '5688', 'schoolname': '南京溧水区商业幼儿园', 'gradeid': '3940', 'draw': 0, 'isadmin': 0, 'length': 10}]
34390 [{'gradename': '未分配', 'start': 0, 'pageno': 1, 'schoolid': '7405', 'pageindex': 0, 'classname': '（1）班', 'classid': '7874', 'schoolname': '嘉兴市蓝翔实验学校', 'gradeid': '7873', 'draw': 0, 'isadmin': 0, 'length': 10}]
34396 [{'gradename': '七年级', 'start': 0, 'pageno': 1, 'schoolid': '15957', 'pageindex': 0, 'classname': '（1）班', 'classid': '18009', 'schoolname': '夏衍中学', 'gradeid': '16350', 'draw': 0, 'isadmin': 0, 'length': 10}]
34397 [{'gradename': '三年级', 'start': 0, 'pageno': 1, 'schoolid': '289', 'pageindex': 0, 'classname': '（5）班', 'classid': '307', 'schoolname': '苏州工业园区翰林小学', 'gradeid': '303', 'draw': 0, 'isadmin': 0, 'length': 10}]
34402 [{'gradename': '高二', 'start': 0, 'pageno': 1, 'schoolid': '955', 'pageindex': 0, 'classname': '（4）班', 'classid': '1324', 'schoolname': '上海理工大学附属中学', 'gradeid': '956', 'draw': 0, 'isadmin': 0, 'length': 10}]
34411 [{'gradename': '六年级', 'start': 0, 'pageno': 1, 'schoolid': '21967', 'pageindex': 0, 'classname': '（1）班', 'classid': '22061', 'schoolname': '长安区第五小学', 'gradeid': '22002', 'draw': 0, 'isadmin': 0, 'length': 10}]
34413 [{'gradename': '二年级', 'start': 0, 'pageno': 1, 'schoolid': '23944', 'pageindex': 0, 'classname': '（2）班', 'classid': '24411', 'schoolname': '五华县梅林镇优河小学', 'gradeid': '24397', 'draw': 0, 'isadmin': 0, 'length': 10}]
34420 [{'gradename': '奥尔夫音乐', 'start': 0, 'pageno': 1, 'schoolid': '3575', 'pageindex': 0, 'classname': '奥尔夫音乐新生班2', 'classid': '5352', 'schoolname': '遂昌县青少年宫', 'gradeid': '5272', 'draw': 0, 'isadmin': 0, 'length': 10}]
34426 [{'gradename': '后勤', 'start': 0, 'pageno': 1, 'schoolid': '6180', 'pageindex': 0, 'classname': '宿管+花房', 'classid': '8335', 'schoolname': '南京市溧水区溧水中专校', 'gradeid': '7438', 'draw': 0, 'isadmin': 0, 'length': 10}]
34436 [{'gradename': '电信部', 'start': 0, 'pageno': 1, 'schoolid': '6180', 'pageindex': 0, 'classname': '17电计', 'classid': '6908', 'schoolname': '南京市溧水区溧水中专校', 'gradeid': '6902', 'draw': 0, 'isadmin': 0, 'length': 10}]
34441 [{'gradename': '高一', 'start': 0, 'pageno': 1, 'schoolid': '1068', 'pageindex': 0, 'classname': '（15）班', 'classid': '6733', 'schoolname': '连云港市赣榆县第一中学', 'gradeid': '6718', 'draw': 0, 'isadmin': 0, 'length': 10}]
34442 [{'gradename': '高一', 'start': 0, 'pageno': 1, 'schoolid': '9176', 'pageindex': 0, 'classname': '（9）班', 'classid': '9225', 'schoolname': '厦门大学附属实验中学', 'gradeid': '9180', 'draw': 0, 'isadmin': 0, 'length': 10}]
34460 [{'gradename': '六年级', 'start': 0, 'pageno': 1, 'schoolid': '15960', 'pageindex': 0, 'classname': '（1）班', 'classid': '18147', 'schoolname': '昆明市五华区西坝小学', 'gradeid': '16370', 'draw': 0, 'isadmin': 0, 'length': 10}]
34466 [{'gradename': '初二', 'start': 0, 'pageno': 1, 'schoolid': '23076', 'pageindex': 0, 'classname': '（5）班', 'classid': '23239', 'schoolname': '江阴实验中学', 'gradeid': '23221', 'draw': 0, 'isadmin': 0, 'length': 10}]
34471 [{'gradename': '初一年级', 'start': 0, 'pageno': 1, 'schoolid': '15940', 'pageindex': 0, 'classname': '（4）班', 'classid': '17409', 'schoolname': '绍兴市建工中学', 'gradeid': '16263', 'draw': 0, 'isadmin': 0, 'length': 10}]
34476 [{'gradename': '四年级', 'start': 0, 'pageno': 1, 'schoolid': '15948', 'pageindex': 0, 'classname': '（4）班', 'classid': '17657', 'schoolname': '浙江师范大学附属丁蕙实验小学', 'gradeid': '16311', 'draw': 0, 'isadmin': 0, 'length': 10}]
34479 [{'gradename': '一年级', 'start': 0, 'pageno': 1, 'schoolid': '15948', 'pageindex': 0, 'classname': '（1）班', 'classid': '17651', 'schoolname': '浙江师范大学附属丁蕙实验小学', 'gradeid': '16308', 'draw': 0, 'isadmin': 0, 'length': 10}]
34486 [{'gradename': '五年级', 'start': 0, 'pageno': 1, 'schoolid': '11321', 'pageindex': 0, 'classname': '（5）班', 'classid': '14581', 'schoolname': '郭杜街道中心小学', 'gradeid': '13810', 'draw': 0, 'isadmin': 0, 'length': 10}]
34503 [{'gradename': '一年级', 'start': 0, 'pageno': 1, 'schoolid': '11398', 'pageindex': 0, 'classname': '（3）班', 'classid': '15408', 'schoolname': '长安一小城南分校', 'gradeid': '14222', 'draw': 0, 'isadmin': 0, 'length': 10}]
34506 [{'gradename': '2016级', 'start': 0, 'pageno': 1, 'schoolid': '4885', 'pageindex': 0, 'classname': '2016级8班', 'classid': '4976', 'schoolname': '衢州兴华中学', 'gradeid': '4915', 'draw': 0, 'isadmin': 0, 'length': 10}]
34511 [{'gradename': '中班', 'start': 0, 'pageno': 1, 'schoolid': '11117', 'pageindex': 0, 'classname': '（3）班', 'classid': '12211', 'schoolname': '美林幼儿园', 'gradeid': '12166', 'draw': 0, 'isadmin': 0, 'length': 10}]
34514 [{'gradename': '七年级', 'start': 0, 'pageno': 1, 'schoolid': '15920', 'pageindex': 0, 'classname': '（3）班', 'classid': '16916', 'schoolname': '康平县二牛所口九年一贯制学校', 'gradeid': '16131', 'draw': 0, 'isadmin': 0, 'length': 10}]
34522 [{'gradename': '雨晞楼', 'start': 0, 'pageno': 1, 'schoolid': '2781', 'pageindex': 0, 'classname': '活动教室', 'classid': '2860', 'schoolname': '太仓市弇山小学', 'gradeid': '2821', 'draw': 0, 'isadmin': 0, 'length': 10}]
34524 [{'gradename': '备用2', 'start': 0, 'pageno': 1, 'schoolid': '1387', 'pageindex': 0, 'classname': '1', 'classid': '1868', 'schoolname': '上饶市广丰一中', 'gradeid': '1867', 'draw': 0, 'isadmin': 0, 'length': 10}]
34527 [{'gradename': '高二', 'start': 0, 'pageno': 1, 'schoolid': '1387', 'pageindex': 0, 'classname': '（2）班', 'classid': '1396', 'schoolname': '上饶市广丰一中', 'gradeid': '1388', 'draw': 0, 'isadmin': 0, 'length': 10}]
34528 [{'gradename': '三年级', 'start': 0, 'pageno': 1, 'schoolid': '5858', 'pageindex': 0, 'classname': '国小二1班', 'classid': '5923', 'schoolname': '北京新东方扬州外国语学校', 'gradeid': '5865', 'draw': 0, 'isadmin': 0, 'length': 10}]
34529 [{'gradename': '中班', 'start': 0, 'pageno': 1, 'schoolid': '11279', 'pageindex': 0, 'classname': '（2）班', 'classid': '13527', 'schoolname': '西安市长安区郭杜街道阳光幼儿园', 'gradeid': '13094', 'draw': 0, 'isadmin': 0, 'length': 10}]
34536 [{'gradename': '二年级', 'start': 0, 'pageno': 1, 'schoolid': '11336', 'pageindex': 0, 'classname': '（4）班', 'classid': '14734', 'schoolname': '南街小学', 'gradeid': '13893', 'draw': 0, 'isadmin': 0, 'length': 10}]
34540 [{'gradename': '六年级', 'start': 0, 'pageno': 1, 'schoolid': '2781', 'pageindex': 0, 'classname': '（4）班', 'classid': '2852', 'schoolname': '太仓市弇山小学', 'gradeid': '2818', 'draw': 0, 'isadmin': 0, 'length': 10}]
34546 [{'gradename': '小班', 'start': 0, 'pageno': 1, 'schoolid': '11102', 'pageindex': 0, 'classname': '（3）班', 'classid': '26109', 'schoolname': '韦曲街道童蒙星幼儿园', 'gradeid': '11714', 'draw': 0, 'isadmin': 0, 'length': 10}]
34550 [{'gradename': '六年级', 'start': 0, 'pageno': 1, 'schoolid': '24678', 'pageindex': 0, 'classname': '（3）班', 'classid': '24732', 'schoolname': '高淳区淳溪中心小学', 'gradeid': '24684', 'draw': 0, 'isadmin': 0, 'length': 10}]
34554 [{'gradename': '六年级', 'start': 0, 'pageno': 1, 'schoolid': '944', 'pageindex': 0, 'classname': '（2）班', 'classid': '1923', 'schoolname': '南京市溧水区状元坊小学', 'gradeid': '1657', 'draw': 0, 'isadmin': 0, 'length': 10}]
34557 [{'gradename': '二年级', 'start': 0, 'pageno': 1, 'schoolid': '9565', 'pageindex': 0, 'classname': '（17）班', 'classid': '9989', 'schoolname': '江苏省泗阳县实验小学', 'gradeid': '9567', 'draw': 0, 'isadmin': 0, 'length': 10}]
