10012 [{'pageno': 1, 'start': 0, 'classname': '（6）百合班', 'schoolid': '3747', 'isadmin': 0, 'classid': '3887', 'draw': 0, 'gradeid': '3854', 'schoolname': '泗阳县众兴实验小学', 'gradename': '五', 'pageindex': 0, 'length': 10}]
16737 [{'pageno': 1, 'start': 0, 'classname': '（1）班', 'schoolid': '4775', 'isadmin': 0, 'classid': '5461', 'draw': 0, 'gradeid': '5412', 'schoolname': '南通市北城小学', 'gradename': '五年级', 'pageindex': 0, 'length': 10}]
16740 [{'pageno': 1, 'start': 0, 'classname': '（7）班', 'schoolid': '4320', 'isadmin': 0, 'classid': '4351', 'draw': 0, 'gradeid': '4321', 'schoolname': '上海市金山亭林小学', 'gradename': '二年级', 'pageindex': 0, 'length': 10}]
16741 [{'pageno': 1, 'start': 0, 'classname': '（4）班', 'schoolid': '4320', 'isadmin': 0, 'classid': '4383', 'draw': 0, 'gradeid': '4326', 'schoolname': '上海市金山亭林小学', 'gradename': '六年级111', 'pageindex': 0, 'length': 10}]
16742 [{'pageno': 1, 'start': 0, 'classname': '一班', 'schoolid': '7071', 'isadmin': 0, 'classid': '7074', 'draw': 0, 'gradeid': '7072', 'schoolname': '南京市白云园小学', 'gradename': '一年级', 'pageindex': 0, 'length': 10}]
16744 [{'pageno': 1, 'start': 0, 'classname': '（2）班', 'schoolid': '7641', 'isadmin': 0, 'classid': '7646', 'draw': 0, 'gradeid': '7642', 'schoolname': '扬子一中松杨路分校', 'gradename': '初一', 'pageindex': 0, 'length': 10}]
16746 [{'pageno': 1, 'start': 0, 'classname': '（2）班', 'schoolid': '2774', 'isadmin': 0, 'classid': '2795', 'draw': 0, 'gradeid': '2786', 'schoolname': '太仓市双凤中心小学', 'gradename': '二年级', 'pageindex': 0, 'length': 10}]
16756 [{'pageno': 1, 'start': 0, 'classname': '（3）班', 'schoolid': '2916', 'isadmin': 0, 'classid': '3026', 'draw': 0, 'gradeid': '3003', 'schoolname': '太仓市科教新城实验小学', 'gradename': '四年级', 'pageindex': 0, 'length': 10}]
16760 [{'pageno': 1, 'start': 0, 'classname': '（7）班', 'schoolid': '3036', 'isadmin': 0, 'classid': '3139', 'draw': 0, 'gradeid': '3127', 'schoolname': '太仓市新区第三小学', 'gradename': '一年级', 'pageindex': 0, 'length': 10}]
16761 [{'pageno': 1, 'start': 0, 'classname': '（4）班', 'schoolid': '6837', 'isadmin': 0, 'classid': '6877', 'draw': 0, 'gradeid': '6843', 'schoolname': '南京市北京东路小学', 'gradename': '六年级', 'pageindex': 0, 'length': 10}]
16765 [{'pageno': 1, 'start': 0, 'classname': '预留3', 'schoolid': '944', 'isadmin': 0, 'classid': '2110', 'draw': 0, 'gradeid': '2085', 'schoolname': '南京市溧水区状元坊小学', 'gradename': '综合楼四层', 'pageindex': 0, 'length': 10}]
16766 [{'pageno': 1, 'start': 0, 'classname': '（2）班', 'schoolid': '7641', 'isadmin': 0, 'classid': '7654', 'draw': 0, 'gradeid': '7644', 'schoolname': '扬子一中松杨路分校', 'gradename': '初三', 'pageindex': 0, 'length': 10}]
16781 [{'pageno': 1, 'start': 0, 'classname': '（9）班', 'schoolid': '944', 'isadmin': 0, 'classid': '7346', 'draw': 0, 'gradeid': '7336', 'schoolname': '南京市溧水区状元坊小学', 'gradename': '一年级', 'pageindex': 0, 'length': 10}]
16790 [{'pageno': 1, 'start': 0, 'classname': '（8）班（无）', 'schoolid': '5499', 'isadmin': 0, 'classid': '6715', 'draw': 0, 'gradeid': '5502', 'schoolname': '苏州湾实验小学', 'gradename': '四年级', 'pageindex': 0, 'length': 10}]
16808 [{'pageno': 1, 'start': 0, 'classname': '（12）班', 'schoolid': '907', 'isadmin': 0, 'classid': '6627', 'draw': 0, 'gradeid': '6615', 'schoolname': '南京市旭东中学', 'gradename': '初一', 'pageindex': 0, 'length': 10}]
16813 [{'pageno': 1, 'start': 0, 'classname': '16级（4）班', 'schoolid': '4803', 'isadmin': 0, 'classid': '5185', 'draw': 0, 'gradeid': '5121', 'schoolname': '黄平县中等职业学校', 'gradename': '学前教育', 'pageindex': 0, 'length': 10}]
16820 [{'pageno': 1, 'start': 0, 'classname': '（5）班', 'schoolid': '955', 'isadmin': 0, 'classid': '1332', 'draw': 0, 'gradeid': '1322', 'schoolname': '上海理工大学附属中学', 'gradename': '高二', 'pageindex': 0, 'length': 10}]
16824 [{'pageno': 1, 'start': 0, 'classname': '（3）春雨班', 'schoolid': '3747', 'isadmin': 0, 'classid': '3834', 'draw': 0, 'gradeid': '3761', 'schoolname': '泗阳县众兴实验小学', 'gradename': '二', 'pageindex': 0, 'length': 10}]
16826 [{'pageno': 1, 'start': 0, 'classname': '（6）班', 'schoolid': '1', 'isadmin': 0, 'classid': '809', 'draw': 0, 'gradeid': '686', 'schoolname': '苏州紫橙实验学校', 'gradename': '六年级', 'pageindex': 0, 'length': 10}]
16832 [{'pageno': 1, 'start': 0, 'classname': '（7）班', 'schoolid': '6349', 'isadmin': 0, 'classid': '6359', 'draw': 0, 'gradeid': '6350', 'schoolname': '南京市九龙中学', 'gradename': '初一', 'pageindex': 0, 'length': 10}]
16835 [{'pageno': 1, 'start': 0, 'classname': '（1）班', 'schoolid': '6349', 'isadmin': 0, 'classid': '6361', 'draw': 0, 'gradeid': '6351', 'schoolname': '南京市九龙中学', 'gradename': '初二', 'pageindex': 0, 'length': 10}]
16856 [{'pageno': 1, 'start': 0, 'classname': '(1)', 'schoolid': '1064', 'isadmin': 0, 'classid': '5400', 'draw': 0, 'gradeid': '5395', 'schoolname': '未来领导力学校', 'gradename': '音乐教室', 'pageindex': 0, 'length': 10}]
16860 [{'pageno': 1, 'start': 0, 'classname': '英语阅卷室', 'schoolid': '120', 'isadmin': 0, 'classid': '4684', 'draw': 0, 'gradeid': '4681', 'schoolname': '苏州市勤惜实验小学校', 'gradename': '二楼', 'pageindex': 0, 'length': 10}]
16865 [{'pageno': 1, 'start': 0, 'classname': '（3）班', 'schoolid': '3216', 'isadmin': 0, 'classid': '6049', 'draw': 0, 'gradeid': '6046', 'schoolname': '南京汉开书院', 'gradename': '初一', 'pageindex': 0, 'length': 10}]
16879 [{'pageno': 1, 'start': 0, 'classname': '（7）班', 'schoolid': '1068', 'isadmin': 0, 'classid': '1644', 'draw': 0, 'gradeid': '1637', 'schoolname': '连云港市赣榆县第一中学', 'gradename': '高三', 'pageindex': 0, 'length': 10}]
16881 [{'pageno': 1, 'start': 0, 'classname': '（10）班', 'schoolid': '4803', 'isadmin': 0, 'classid': '5158', 'draw': 0, 'gradeid': '5111', 'schoolname': '黄平县中等职业学校', 'gradename': '16级高护', 'pageindex': 0, 'length': 10}]
16884 [{'pageno': 1, 'start': 0, 'classname': '（4）班', 'schoolid': '2781', 'isadmin': 0, 'classid': '2840', 'draw': 0, 'gradeid': '2816', 'schoolname': '太仓市弇山小学', 'gradename': '四年级', 'pageindex': 0, 'length': 10}]
16900 [{'pageno': 1, 'start': 0, 'classname': '五', 'schoolid': '3675', 'isadmin': 0, 'classid': '4881', 'draw': 0, 'gradeid': '4876', 'schoolname': '常熟市东南幼儿园', 'gradename': '走廊', 'pageindex': 0, 'length': 10}]
16902 [{'pageno': 1, 'start': 0, 'classname': '（12）海棠班', 'schoolid': '3747', 'isadmin': 0, 'classid': '3892', 'draw': 0, 'gradeid': '3854', 'schoolname': '泗阳县众兴实验小学', 'gradename': '五', 'pageindex': 0, 'length': 10}]
16918 [{'pageno': 1, 'start': 0, 'classname': '（3）班', 'schoolid': '4390', 'isadmin': 0, 'classid': '4396', 'draw': 0, 'gradeid': '4391', 'schoolname': '上海市亭林中学', 'gradename': '高二', 'pageindex': 0, 'length': 10}]
16924 [{'pageno': 1, 'start': 0, 'classname': '（2）班', 'schoolid': '3521', 'isadmin': 0, 'classid': '5207', 'draw': 0, 'gradeid': '4788', 'schoolname': '江阴市澄江中心小学', 'gradename': '四年级', 'pageindex': 0, 'length': 10}]
16931 [{'pageno': 1, 'start': 0, 'classname': '（6）班', 'schoolid': '1057', 'isadmin': 0, 'classid': '1228', 'draw': 0, 'gradeid': '1202', 'schoolname': '江苏省太仓高级中学', 'gradename': '高三', 'pageindex': 0, 'length': 10}]
16939 [{'pageno': 1, 'start': 0, 'classname': '（7）班', 'schoolid': '6192', 'isadmin': 0, 'classid': '6205', 'draw': 0, 'gradeid': '6193', 'schoolname': '天台始丰小学', 'gradename': '一年级', 'pageindex': 0, 'length': 10}]
16946 [{'pageno': 1, 'start': 0, 'classname': '（13）班', 'schoolid': '1057', 'isadmin': 0, 'classid': '1254', 'draw': 0, 'gradeid': '1203', 'schoolname': '江苏省太仓高级中学', 'gradename': '高    三', 'pageindex': 0, 'length': 10}]
16952 [{'pageno': 1, 'start': 0, 'classname': '二楼西2', 'schoolid': '1048', 'isadmin': 0, 'classid': '2343', 'draw': 0, 'gradeid': '2332', 'schoolname': '南京晓庄学院滨河实验学校', 'gradename': '小学部教学楼', 'pageindex': 0, 'length': 10}]
16968 [{'pageno': 1, 'start': 0, 'classname': '（6）班', 'schoolid': '810', 'isadmin': 0, 'classid': '826', 'draw': 0, 'gradeid': '812', 'schoolname': '江山市清湖高级中学', 'gradename': '高三', 'pageindex': 0, 'length': 10}]
16974 [{'pageno': 1, 'start': 0, 'classname': '（2）班', 'schoolid': '6103', 'isadmin': 0, 'classid': '6462', 'draw': 0, 'gradeid': '6436', 'schoolname': '永康崇德学校', 'gradename': '五年级', 'pageindex': 0, 'length': 10}]
16975 [{'pageno': 1, 'start': 0, 'classname': '（4）班', 'schoolid': '3036', 'isadmin': 0, 'classid': '3166', 'draw': 0, 'gradeid': '3131', 'schoolname': '太仓市新区第三小学', 'gradename': '五年级', 'pageindex': 0, 'length': 10}]
16980 [{'pageno': 1, 'start': 0, 'classname': '（7）班', 'schoolid': '1662', 'isadmin': 0, 'classid': '1715', 'draw': 0, 'gradeid': '1667', 'schoolname': '新沂市新华小学', 'gradename': '六年级已毕业', 'pageindex': 0, 'length': 10}]
16988 [{'pageno': 1, 'start': 0, 'classname': '（1）班', 'schoolid': '3782', 'isadmin': 0, 'classid': '3816', 'draw': 0, 'gradeid': '3788', 'schoolname': '泰州市姜堰区实验小学教育集团', 'gradename': '六年级', 'pageindex': 0, 'length': 10}]
16990 [{'pageno': 1, 'start': 0, 'classname': '（4）班', 'schoolid': '864', 'isadmin': 0, 'classid': '866', 'draw': 0, 'gradeid': '865', 'schoolname': '测试学校3', 'gradename': '六年级', 'pageindex': 0, 'length': 10}]
17012 [{'pageno': 1, 'start': 0, 'classname': '（7）班', 'schoolid': '1662', 'isadmin': 0, 'classid': '1684', 'draw': 0, 'gradeid': '1664', 'schoolname': '新沂市新华小学', 'gradename': '二年级', 'pageindex': 0, 'length': 10}]
17015 [{'pageno': 1, 'start': 0, 'classname': '（14）班', 'schoolid': '551', 'isadmin': 0, 'classid': '611', 'draw': 0, 'gradeid': '583', 'schoolname': '苏州星海实验中学', 'gradename': '初一', 'pageindex': 0, 'length': 10}]
17024 [{'pageno': 1, 'start': 0, 'classname': '（1）班', 'schoolid': '1387', 'isadmin': 0, 'classid': '1479', 'draw': 0, 'gradeid': '1390', 'schoolname': '上饶市广丰一中', 'gradename': '高三', 'pageindex': 0, 'length': 10}]
17027 [{'pageno': 1, 'start': 0, 'classname': '（五）', 'schoolid': '955', 'isadmin': 0, 'classid': '2503', 'draw': 0, 'gradeid': '2498', 'schoolname': '上海理工大学附属中学', 'gradename': '专用教室', 'pageindex': 0, 'length': 10}]
17032 [{'pageno': 1, 'start': 0, 'classname': '（4）班', 'schoolid': '4505', 'isadmin': 0, 'classid': '7223', 'draw': 0, 'gradeid': '7217', 'schoolname': '宜昌市西陵区铁路坝小学', 'gradename': '四年级', 'pageindex': 0, 'length': 10}]
17035 [{'pageno': 1, 'start': 0, 'classname': '合班教室2', 'schoolid': '1057', 'isadmin': 0, 'classid': '1240', 'draw': 0, 'gradeid': '1202', 'schoolname': '江苏省太仓高级中学', 'gradename': '高三', 'pageindex': 0, 'length': 10}]
17043 [{'pageno': 1, 'start': 0, 'classname': '1', 'schoolid': '955', 'isadmin': 0, 'classid': '1887', 'draw': 0, 'gradeid': '1886', 'schoolname': '上海理工大学附属中学', 'gradename': '门禁', 'pageindex': 0, 'length': 10}]
17050 [{'pageno': 1, 'start': 0, 'classname': '（1）班', 'schoolid': '810', 'isadmin': 0, 'classid': '835', 'draw': 0, 'gradeid': '834', 'schoolname': '江山市清湖高级中学', 'gradename': '高三', 'pageindex': 0, 'length': 10}]
17054 [{'pageno': 1, 'start': 0, 'classname': '（4）班', 'schoolid': '3216', 'isadmin': 0, 'classid': '3236', 'draw': 0, 'gradeid': '3220', 'schoolname': '南京汉开书院', 'gradename': '高一', 'pageindex': 0, 'length': 10}]
17055 [{'pageno': 1, 'start': 0, 'classname': '（10）班', 'schoolid': '2117', 'isadmin': 0, 'classid': '2664', 'draw': 0, 'gradeid': '2627', 'schoolname': '徐州丰县广宇中英文学校', 'gradename': '五年级', 'pageindex': 0, 'length': 10}]
17058 [{'pageno': 1, 'start': 0, 'classname': '（17）班', 'schoolid': '1387', 'isadmin': 0, 'classid': '1468', 'draw': 0, 'gradeid': '1389', 'schoolname': '上饶市广丰一中', 'gradename': '高二', 'pageindex': 0, 'length': 10}]
17064 [{'pageno': 1, 'start': 0, 'classname': '（1）班', 'schoolid': '5755', 'isadmin': 0, 'classid': '5768', 'draw': 0, 'gradeid': '5760', 'schoolname': '嘉兴南湖创业学校', 'gradename': '二年级', 'pageindex': 0, 'length': 10}]
17073 [{'pageno': 1, 'start': 0, 'classname': '（10）凝水班', 'schoolid': '3747', 'isadmin': 0, 'classid': '3879', 'draw': 0, 'gradeid': '3853', 'schoolname': '泗阳县众兴实验小学', 'gradename': '四', 'pageindex': 0, 'length': 10}]
17076 [{'pageno': 1, 'start': 0, 'classname': '3', 'schoolid': '955', 'isadmin': 0, 'classid': '2125', 'draw': 0, 'gradeid': '1886', 'schoolname': '上海理工大学附属中学', 'gradename': '门禁', 'pageindex': 0, 'length': 10}]
17090 [{'pageno': 1, 'start': 0, 'classname': '（1）班', 'schoolid': '7641', 'isadmin': 0, 'classid': '7650', 'draw': 0, 'gradeid': '7643', 'schoolname': '扬子一中松杨路分校', 'gradename': '初二', 'pageindex': 0, 'length': 10}]
17091 [{'pageno': 1, 'start': 0, 'classname': '（11）班', 'schoolid': '1057', 'isadmin': 0, 'classid': '1233', 'draw': 0, 'gradeid': '1202', 'schoolname': '江苏省太仓高级中学', 'gradename': '高三', 'pageindex': 0, 'length': 10}]
17099 [{'pageno': 1, 'start': 0, 'classname': '（8）班', 'schoolid': '3216', 'isadmin': 0, 'classid': '3387', 'draw': 0, 'gradeid': '3218', 'schoolname': '南京汉开书院', 'gradename': '初二', 'pageindex': 0, 'length': 10}]
17107 [{'pageno': 1, 'start': 0, 'classname': '服务站班', 'schoolid': '3763', 'isadmin': 0, 'classid': '3775', 'draw': 0, 'gradeid': '3771', 'schoolname': '江苏省锡中学校', 'gradename': '公共', 'pageindex': 0, 'length': 10}]
17121 [{'pageno': 1, 'start': 0, 'classname': '（2）班', 'schoolid': '3614', 'isadmin': 0, 'classid': '4105', 'draw': 0, 'gradeid': '3924', 'schoolname': '南京市溧水区明觉初级中学', 'gradename': '初一', 'pageindex': 0, 'length': 10}]
17137 [{'pageno': 1, 'start': 0, 'classname': '（5）班', 'schoolid': '5858', 'isadmin': 0, 'classid': '5988', 'draw': 0, 'gradeid': '5872', 'schoolname': '北京新东方扬州外国语学校', 'gradename': '九年级', 'pageindex': 0, 'length': 10}]
17144 [{'pageno': 1, 'start': 0, 'classname': '（3）班', 'schoolid': '3744', 'isadmin': 0, 'classid': '4593', 'draw': 0, 'gradeid': '4580', 'schoolname': '南京市溧水区石湫镇中心小学', 'gradename': '四年级', 'pageindex': 0, 'length': 10}]
17162 [{'pageno': 1, 'start': 0, 'classname': '（4）班', 'schoolid': '6103', 'isadmin': 0, 'classid': '6464', 'draw': 0, 'gradeid': '6436', 'schoolname': '永康崇德学校', 'gradename': '五年级', 'pageindex': 0, 'length': 10}]
17164 [{'pageno': 1, 'start': 0, 'classname': '（3）班', 'schoolid': '5839', 'isadmin': 0, 'classid': '5849', 'draw': 0, 'gradeid': '5840', 'schoolname': '三盟科技大学', 'gradename': '多功能学习', 'pageindex': 0, 'length': 10}]
17177 [{'pageno': 1, 'start': 0, 'classname': '（6）班', 'schoolid': '910', 'isadmin': 0, 'classid': '939', 'draw': 0, 'gradeid': '913', 'schoolname': '郑州市第二十四中学', 'gradename': '高三', 'pageindex': 0, 'length': 10}]
17183 [{'pageno': 1, 'start': 0, 'classname': '（1）班', 'schoolid': '748', 'isadmin': 0, 'classid': '2446', 'draw': 0, 'gradeid': '753', 'schoolname': '江山贺村第二小学', 'gradename': '六年级', 'pageindex': 0, 'length': 10}]
17185 [{'pageno': 1, 'start': 0, 'classname': '菜单屏', 'schoolid': '944', 'isadmin': 0, 'classid': '1289', 'draw': 0, 'gradeid': '1196', 'schoolname': '南京市溧水区状元坊小学', 'gradename': '食堂大屏', 'pageindex': 0, 'length': 10}]
17196 [{'pageno': 1, 'start': 0, 'classname': '七楼', 'schoolid': '4725', 'isadmin': 0, 'classid': '5596', 'draw': 0, 'gradeid': '5593', 'schoolname': '无锡市教育信息化管理服务中心', 'gradename': '公共区域大屏', 'pageindex': 0, 'length': 10}]
17205 [{'pageno': 1, 'start': 0, 'classname': '（9）班', 'schoolid': '1662', 'isadmin': 0, 'classid': '1676', 'draw': 0, 'gradeid': '1663', 'schoolname': '新沂市新华小学', 'gradename': '三年级', 'pageindex': 0, 'length': 10}]
17214 [{'pageno': 1, 'start': 0, 'classname': '（7）班', 'schoolid': '1', 'isadmin': 0, 'classid': '738', 'draw': 0, 'gradeid': '731', 'schoolname': '苏州紫橙实验学校', 'gradename': '初二', 'pageindex': 0, 'length': 10}]
17219 [{'pageno': 1, 'start': 0, 'classname': '（1）班', 'schoolid': '4390', 'isadmin': 0, 'classid': '6953', 'draw': 0, 'gradeid': '6952', 'schoolname': '上海市亭林中学', 'gradename': '高一', 'pageindex': 0, 'length': 10}]
17224 [{'pageno': 1, 'start': 0, 'classname': 'led4', 'schoolid': '4850', 'isadmin': 0, 'classid': '4854', 'draw': 0, 'gradeid': '4853', 'schoolname': 'LED大屏', 'gradename': 'led3', 'pageindex': 0, 'length': 10}]
17258 [{'pageno': 1, 'start': 0, 'classname': '疯狂博士初级', 'schoolid': '3575', 'isadmin': 0, 'classid': '5339', 'draw': 0, 'gradeid': '5266', 'schoolname': '遂昌县青少年宫', 'gradename': '疯狂博士', 'pageindex': 0, 'length': 10}]
17270 [{'pageno': 1, 'start': 0, 'classname': '（5）班', 'schoolid': '2206', 'isadmin': 0, 'classid': '2700', 'draw': 0, 'gradeid': '2679', 'schoolname': '江山二中', 'gradename': '九年级', 'pageindex': 0, 'length': 10}]
17274 [{'pageno': 1, 'start': 0, 'classname': '二楼 1', 'schoolid': '1048', 'isadmin': 0, 'classid': '1300', 'draw': 0, 'gradeid': '1297', 'schoolname': '南京晓庄学院滨河实验学校', 'gradename': '公共大屏-小学', 'pageindex': 0, 'length': 10}]
17290 [{'pageno': 1, 'start': 0, 'classname': '（1）班', 'schoolid': '5736', 'isadmin': 0, 'classid': '5740', 'draw': 0, 'gradeid': '5737', 'schoolname': '台州市路桥区横街镇中学', 'gradename': '初二', 'pageindex': 0, 'length': 10}]
17315 [{'pageno': 1, 'start': 0, 'classname': '（13）班', 'schoolid': '4028', 'isadmin': 0, 'classid': '4089', 'draw': 0, 'gradeid': '4031', 'schoolname': '衢州市兴华中学', 'gradename': '初三', 'pageindex': 0, 'length': 10}]
17323 [{'pageno': 1, 'start': 0, 'classname': '（15）班', 'schoolid': '1068', 'isadmin': 0, 'classid': '1653', 'draw': 0, 'gradeid': '1637', 'schoolname': '连云港市赣榆县第一中学', 'gradename': '高三', 'pageindex': 0, 'length': 10}]
17356 [{'pageno': 1, 'start': 0, 'classname': '（1）班', 'schoolid': '1075', 'isadmin': 0, 'classid': '1096', 'draw': 0, 'gradeid': '1080', 'schoolname': '江山市大溪滩小学', 'gradename': '六年级', 'pageindex': 0, 'length': 10}]
17379 [{'pageno': 1, 'start': 0, 'classname': '东1', 'schoolid': '1048', 'isadmin': 0, 'classid': '2397', 'draw': 0, 'gradeid': '2389', 'schoolname': '南京晓庄学院滨河实验学校', 'gradename': '小学实验楼三楼', 'pageindex': 0, 'length': 10}]
17392 [{'pageno': 1, 'start': 0, 'classname': '19届历史01班(等级)', 'schoolid': '955', 'isadmin': 0, 'classid': '2516', 'draw': 0, 'gradeid': '2222', 'schoolname': '上海理工大学附属中学', 'gradename': '高三教学班', 'pageindex': 0, 'length': 10}]
17411 [{'pageno': 1, 'start': 0, 'classname': '（2）班', 'schoolid': '6963', 'isadmin': 0, 'classid': '6972', 'draw': 0, 'gradeid': '6965', 'schoolname': '南京市江宁区横溪中学', 'gradename': '八年级', 'pageindex': 0, 'length': 10}]
17432 [{'pageno': 1, 'start': 0, 'classname': '（15）班', 'schoolid': '551', 'isadmin': 0, 'classid': '627', 'draw': 0, 'gradeid': '583', 'schoolname': '苏州星海实验中学', 'gradename': '初一', 'pageindex': 0, 'length': 10}]
17441 [{'pageno': 1, 'start': 0, 'classname': '（6）班', 'schoolid': '551', 'isadmin': 0, 'classid': '649', 'draw': 0, 'gradeid': '585', 'schoolname': '苏州星海实验中学', 'gradename': '初三', 'pageindex': 0, 'length': 10}]
17491 [{'pageno': 1, 'start': 0, 'classname': '（1）班', 'schoolid': '1064', 'isadmin': 0, 'classid': '2536', 'draw': 0, 'gradeid': '2531', 'schoolname': '未来领导力学校', 'gradename': '六年级', 'pageindex': 0, 'length': 10}]
17501 [{'pageno': 1, 'start': 0, 'classname': '（4）班', 'schoolid': '3454', 'isadmin': 0, 'classid': '4565', 'draw': 0, 'gradeid': '4551', 'schoolname': '南京市溧水区石湫中心小学', 'gradename': '三年级', 'pageindex': 0, 'length': 10}]
17503 [{'pageno': 1, 'start': 0, 'classname': '（5）班', 'schoolid': '7512', 'isadmin': 0, 'classid': '7585', 'draw': 0, 'gradeid': '7518', 'schoolname': '南京溧水经济开发区小学', 'gradename': '六年级', 'pageindex': 0, 'length': 10}]
17505 [{'pageno': 1, 'start': 0, 'classname': '（6）班', 'schoolid': '6349', 'isadmin': 0, 'classid': '6358', 'draw': 0, 'gradeid': '6350', 'schoolname': '南京市九龙中学', 'gradename': '初一', 'pageindex': 0, 'length': 10}]
17516 [{'pageno': 1, 'start': 0, 'classname': '(11)班', 'schoolid': '6037', 'isadmin': 0, 'classid': '6173', 'draw': 0, 'gradeid': '6123', 'schoolname': '太仓市浮桥中学', 'gradename': '八年级', 'pageindex': 0, 'length': 10}]
17521 [{'pageno': 1, 'start': 0, 'classname': '（12）班', 'schoolid': '2117', 'isadmin': 0, 'classid': '2676', 'draw': 0, 'gradeid': '2628', 'schoolname': '徐州丰县广宇中英文学校', 'gradename': '六年级', 'pageindex': 0, 'length': 10}]
17528 [{'pageno': 1, 'start': 0, 'classname': '（2）班', 'schoolid': '3216', 'isadmin': 0, 'classid': '6429', 'draw': 0, 'gradeid': '6413', 'schoolname': '南京汉开书院', 'gradename': '六年级', 'pageindex': 0, 'length': 10}]
17529 [{'pageno': 1, 'start': 0, 'classname': '（2）班', 'schoolid': '1', 'isadmin': 0, 'classid': '691', 'draw': 0, 'gradeid': '684', 'schoolname': '苏州紫橙实验学校', 'gradename': '二年级', 'pageindex': 0, 'length': 10}]
17540 [{'pageno': 1, 'start': 0, 'classname': '（10）班', 'schoolid': '1', 'isadmin': 0, 'classid': '1071', 'draw': 0, 'gradeid': '682', 'schoolname': '苏州紫橙实验学校', 'gradename': '一年级', 'pageindex': 0, 'length': 10}]
17545 [{'pageno': 1, 'start': 0, 'classname': '（5）班', 'schoolid': '1439', 'isadmin': 0, 'classid': '1566', 'draw': 0, 'gradeid': '1442', 'schoolname': '广丰一中锐境学校', 'gradename': '九年级', 'pageindex': 0, 'length': 10}]
17552 [{'pageno': 1, 'start': 0, 'classname': '（10）班', 'schoolid': '1662', 'isadmin': 0, 'classid': '2469', 'draw': 0, 'gradeid': '2459', 'schoolname': '新沂市新华小学', 'gradename': '四年级', 'pageindex': 0, 'length': 10}]
17572 [{'pageno': 1, 'start': 0, 'classname': '20届地理03班(等级)', 'schoolid': '955', 'isadmin': 0, 'classid': '2225', 'draw': 0, 'gradeid': '2221', 'schoolname': '上海理工大学附属中学', 'gradename': '高二教学班（等级）', 'pageindex': 0, 'length': 10}]
17577 [{'pageno': 1, 'start': 0, 'classname': '（1）班', 'schoolid': '7512', 'isadmin': 0, 'classid': '7525', 'draw': 0, 'gradeid': '7514', 'schoolname': '南京溧水经济开发区小学', 'gradename': '二年级', 'pageindex': 0, 'length': 10}]
17580 [{'pageno': 1, 'start': 0, 'classname': '实验楼二楼', 'schoolid': '1041', 'isadmin': 0, 'classid': '3327', 'draw': 0, 'gradeid': '3304', 'schoolname': '常熟市东南实验小学', 'gradename': '公共区域大屏', 'pageindex': 0, 'length': 10}]
17583 [{'pageno': 1, 'start': 0, 'classname': '（6）班', 'schoolid': '4772', 'isadmin': 0, 'classid': '4784', 'draw': 0, 'gradeid': '4778', 'schoolname': '江阴市顾山实验小学', 'gradename': '五年级', 'pageindex': 0, 'length': 10}]
17598 [{'pageno': 1, 'start': 0, 'classname': '（14）班', 'schoolid': '1057', 'isadmin': 0, 'classid': '7394', 'draw': 0, 'gradeid': '7380', 'schoolname': '江苏省太仓高级中学', 'gradename': '高一', 'pageindex': 0, 'length': 10}]
17608 [{'pageno': 1, 'start': 0, 'classname': '（3）班', 'schoolid': '3406', 'isadmin': 0, 'classid': '3497', 'draw': 0, 'gradeid': '3485', 'schoolname': '温州市龙湾区外国语小学', 'gradename': '二年级', 'pageindex': 0, 'length': 10}]
17614 [{'pageno': 1, 'start': 0, 'classname': '（2）班', 'schoolid': '5858', 'isadmin': 0, 'classid': '7617', 'draw': 0, 'gradeid': '7615', 'schoolname': '北京新东方扬州外国语学校', 'gradename': '高一', 'pageindex': 0, 'length': 10}]
17660 [{'pageno': 1, 'start': 0, 'classname': '（8）班', 'schoolid': '947', 'isadmin': 0, 'classid': '966', 'draw': 0, 'gradeid': '948', 'schoolname': '江苏省溧水高级中学', 'gradename': '高二', 'pageindex': 0, 'length': 10}]
17665 [{'pageno': 1, 'start': 0, 'classname': '（1）班', 'schoolid': '2117', 'isadmin': 0, 'classid': '2640', 'draw': 0, 'gradeid': '2624', 'schoolname': '徐州丰县广宇中英文学校', 'gradename': '三年级', 'pageindex': 0, 'length': 10}]
17671 [{'pageno': 1, 'start': 0, 'classname': '（8）班', 'schoolid': '3615', 'isadmin': 0, 'classid': '3694', 'draw': 0, 'gradeid': '3679', 'schoolname': '南京市金陵中学溧水分校', 'gradename': '初二', 'pageindex': 0, 'length': 10}]
17678 [{'pageno': 1, 'start': 0, 'classname': '6', 'schoolid': '944', 'isadmin': 0, 'classid': '1294', 'draw': 0, 'gradeid': '1196', 'schoolname': '南京市溧水区状元坊小学', 'gradename': '食堂大屏', 'pageindex': 0, 'length': 10}]
17680 [{'pageno': 1, 'start': 0, 'classname': '后勤', 'schoolid': '7019', 'isadmin': 0, 'classid': '7255', 'draw': 0, 'gradeid': '7253', 'schoolname': '南京市佳营幼儿园', 'gradename': '后勤', 'pageindex': 0, 'length': 10}]
17691 [{'pageno': 1, 'start': 0, 'classname': '（4）班', 'schoolid': '2920', 'isadmin': 0, 'classid': '7507', 'draw': 0, 'gradeid': '7397', 'schoolname': '温州市龙湾区永兴第二小学', 'gradename': '一年级', 'pageindex': 0, 'length': 10}]
